"emissions state name","state code/icao","iso country name","iso alpha3"
"NORTH MACEDONIA","LW","North Macedonia","MKD"
"SERBIA","LY","Serbia","SRB"
"MALTA","LM","Malta","MLT"
"KOSOVO","BK",NULL,"XKX"
"POLAND","EP","Poland","POL"
"ARMENIA","UD","Armenia","ARM"
"GERMANY","ED","Germany","DEU"
"GEORGIA","UG","Georgia","GEO"
"SWEDEN","ES","Sweden","SWE"
"SWITZERLAND","LS","Switzerland","CHE"
"BOSNIA AND HERZEGOVINA","LQ","Bosnia and Herzegovina","BIH"
"LATVIA","EV","Latvia","LVA"
"BULGARIA","LB","Bulgaria","BGR"
"LITHUANIA","EY","Lithuania","LTU"
"UNITED KINGDOM","EG","United Kingdom of Great Britain and Northern Ireland","GBR"
"DENMARK","EK","Denmark","DNK"
"LIECHTENSTEIN","LS","Liechtenstein","LIE"
"GREECE","LG","Greece","GRC"
"SLOVENIA","LJ","Slovenia","SVN"
"ITALY","LI","Italy","ITA"
"FRANCE","LF","France","FRA"
"ESTONIA","EE","Estonia","EST"
"CYPRUS","LC","Cyprus","CYP"
"HUNGARY","LH","Hungary","HUN"
"ALBANIA","LA","Albania","ALB"
"ROMANIA","LR","Romania","ROU"
"IRELAND","EI","Ireland","IRL"
"TÜRKIYE","LT","Türkiye","TUR"
"SPAIN","LE","Spain","ESP"
"MONACO","LN","Monaco","MCO"
"MONTENEGRO","LY","Montenegro","MNE"
"LUXEMBOURG","EL","Luxembourg","LUX"
"ICELAND","BI","Iceland","ISL"
"NORWAY","EN","Norway","NOR"
"AUSTRIA","LO","Austria","AUT"
"FINLAND","EF","Finland","FIN"
"BELGIUM","EB","Belgium","BEL"
"MOLDOVA, REPUBLIC OF","LU","Republic of Moldova","NDA"
"CANARY ISLANDS","GC",NULL,NULL
"NETHERLANDS","EH","Netherlands (Kingdom of the)","NLD"
"CZECHIA","LK","Czechia","CZE"
"PORTUGAL","LP","Portugal","PRT"
"CROATIA","LD","Croatia","HRV"
"SLOVAKIA","LZ","Slovakia","SVK"
